Code,noslegal name,Parent,Synonym,noslegal short notes,NACE section / division,NACE name,
sec-wtw-2,Waste disposal,sect-wtw,,,"37, 38, 39","Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities",
sec-csn,Construction,sec,,,F,Construction,
sec-csn-1,Building,sec-csn,,Includes construction of residential and non-residential buildings,41,Construction of residential and non-residential buildings,
sec-csn-2,Infrastructure,sec-csn,Civil engineering,Includes construction of transport and utility infrastructure,42,Civil engineering,
sec-rwt,Retail and wholesale trade,sec,,,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,
sec-rwt-1,Wholesale,sec-rwt,,,46,Wholesale trade,
sec-rwt-2,Retail,sec-rwt,,,47,Retail trade,
sec-trs,Transportation and storage,sec,,"Includes human transportation, freight and logistics, transport via pipeline, storage, postal and courier services",H,Transportation and Storage,
sec-trs-1,Rail,sec-trs,,Includes passenger and freight transport by train. Includes rail-based urban mobility such as underground and tram services,"49.1,49.2",Passenger rail transport; freight rail transport,
sec-trs-2,Road transport,sec-trs,,"Includes bus, taxi, ride-share and road freight services. Also includes vehicle hire and finance services","49.3, 49.4",Other passenger land transport; freight transport by road and removal services,
sec-trs-3,Water transport,sec-trs,,"Includes sea, lake and river services for passengers and freight",50,Water transport,
sec-trs-4,Aviation,sec-trs,,Includes air passenger and freight services,51,Air transport,
sec-trs-5,Space transport,sec-trs,,Includes satellite-related services,51.22,Space transport,
sec-trs-6,Storage,sec-trs,,,52,Warehousing and support activities for transportation,
sec-trs-7,Courier and postal services,sec-trs,,,53,Postal and courier activities,
sec-hos,Hospitality services,sec,Hotels and restaurants,"Includes hotels and other accommodation services. Also includes on-premises drink services (e.g. bars) and food delivery services. The term 'Hospitality services' is offered for succinctness, to avoid a cumbersome term such as 'Accommodation, and food and beverage services.' Some law firms use older terminology such as 'hotels and restaurants' so this is offered as an alternative term.",I,Accommodation and Food Service Activities,
sec-hos-1,Hotels and accommodation services,sec-hos,,Includes house-sharing services,55,Accommodation,
sec-hos-2,Restaurants / f&b,sec-hos,,"Includes all on-premises food and beverage (e.g. pubs, bars) services",56,Food and beverage service activities,
sec-ins,Information and recreational services,sec,,,"J, K, S","Publishing, Broadcasting and Content Production and Distribution Activities; Telecommunications, Computer Programming, Consulting, Computing Infrastructure and Other Information Service Activities",
sec-ins-1,Software and data,sec-ins,,"Includes all types of software development and distribution, except those within Video games or Content industry.  Includes data processing, infrastructure as a service and computer programming consulting services. Also includes information services (e.g. database access) other than those within Content.","58.29, 62, 63","Other software publishing; computer programming, consultancy and related activities; computing infrastructure, data processing, hosting and other information service activities",
sec-ins-2,Computer games,sec-ins,Video games,"Separated out from other software given its economic significance, and specialisation in it by some lawyers. Excludes gambling games.",58.21,Publishing of video games,
sec-ins-3,"Films, TV and video",sec-ins,,"Any form of recorded or broadcast moving images, excluding in relation to sports. Includes streaming video.",59.1 ex sports,"Motion picture, video and television programme activities",
sec-ins-4,Music and audio,sec-ins,,"Any form of recorded or broadcast sound without images, excluding in relation to sports",59.2 ex sports,Sound recording and music publishing activities,
sec-ins-5,Arts and culture,sec-ins,,"Other art and cultural activities not otherwise covered. Includes painting, sculpture, live music, theatre, opera, ballet, museums and digital versions of these.","90, 91","Arts creation and performing arts activities; libraries, archives, museums and other cultural activities",
sec-ins-6,Telecoms,sec-ins,,"Includes wired and mobile services, whether terrestrial or satellite. Also includes telecom services reselling.",61,Telecommunications,
sec-ins-7,Sports,sec-ins,,"Includes operating sports and fitness facilities, clubs and events. A departure from NACE is that this noslegal definition includes broadcasts or recordings relating to sports",93.1,Sports activities,
sec-ins-8,Gambling,sec-ins,,"Includes casinos, betting shops, online games and other forms of gambling or betting.",92,Gambling and betting,
sec-fsv,Financial services,sec,,Only selected elements are broken down in this core sectoral taxonomy. Further breakdowns are contained in XP1.,L,Financial and Insurance Activities,
sec-fsv-1,Insurance,sec-fsv,,"All types of insurance, including related activities such as insurance broking and loss adjustment","65.1, 65.2, 66.2","Insurance, reinsurance and related activities, excluding compulsory social security",
sec-fsv-2,Pension funds,sec-fsv,,Pension funds and their management,65.3,Pension funding,
sec-fsv-3,Investment funds,sec-fsv,,"Funds and their management, other than pension funds",64.3 and 66.3,"Activities of trusts, funds and similar financial entities",
sec-fsv-4,Banking,sec-fsv,,"Includes deposit-taking and credit-granting, including by people and organisations which are not strictly banks.","64.19, 64.9","Other monetary intermediation; Other financial service activities, except insurance and pension funding",
sec-fsv-5,Financial markets,sec-fsv,,"Includes capital markets, commodity markets, money markets, foreign exchange markets and derivatives markets",Parts of 66,Activities auxiliary to financial services and insurance activities,
sec-fsv-6,Private wealth,sec-fsv,,"Includes private trusts, family offices, private banking and investment advice to individuals",Parts of 66,Activities auxiliary to financial services and insurance activities,
sec-res,Real estate,sec,,"Includes buying and leasing real estate, but not (1) accommodation services - sec-afs or (2) construction - sec-csn",M,Real Estate Activities,
sec-res-1,Commercial property,sec-res,,"Industrial, commercial, retail and other non-residential buildings and sites, including sites used for mining, drilling or other extractive purposes.",68 (part),Real estate activities (commercial),
sec-res-2,Residential property,sec-res,,Includes investing and business operation of residential property as well as individuals buying and leasing property for their own occupation,68 (part),Real estate activities (residential),
sec-res-3,Rural land,sec-res,,"Real estate valued primarily for its agricultural, forestry, recreational or environmental characteristics rather than for buildings or extractive uses.",68 (part),Real estate activities (rural / agricultural land),
sec-pub,Public sector and NGOs,sec,,,P,Public administration and defence; compulsory social security,
sec-pub-1,Foreign affairs,sec-pub,,Governmental conduct of the relationships between states,84.21,Foreign affairs,
sec-pub-2,Defence,sec-pub,,"Military activity, civil defence, foreign military aid and military R&D",84.22,Defence activities,
sec-pub-3,Justice,sec-pub,,"Civil and criminal court systems, prison and related punishment and rehabilitation systems",84.23,Justice and judicial activities,
sec-pub-4,Public order and safety,sec-pub,,Police services; fire-protection services; prisons; R&D related to public order and safety; public order and safety not elsewhere classified,"84.24, 84.25",Public order and safety activities; fire service activities,
sec-pub-6,Social security,sec-pub,,"All types of social security including for children, working age people, people with disabilities and retired or elderly people",84.3,Compulsory social security activities,
sec-pub-7,Migration,sec-pub,,Government functions relating to immigration and cross-border travel and working of individuals,84.1,General public administration (includes migration / border administration),
sec-pub-8,General government,sec-pub,,Government functions not elsewhere classified,"84.11, 84.12, 84.13, 84.14","General public services; regulation of health, education, environment and business activities",
sec-pub-9,Charitable and not for profit activities,sec-pub,,"Non-NACE / non-COFOG concept. Includes clubs, charities, religious institutions and other charitable or non-profit activities which do not fit into other types",94,"Activities of membership organisations (includes charities, trade associations, political parties, religious organisations)",
sec-pub-10,International organisation activities,sec-pub,,Based on NACE concept but relocated here,99,Activities of extraterritorial organisations and bodies,
sec-edu,Education,sec,,,P,Education,
sec-edu-1,Education,sec-edu,,,85,Education,
sec-cre,Care,sec,,,Q,Human Health and Social Work Activities,
sec-cre-1,Healthcare,sec-cre,,"Includes doctors, hospital, nursing, psychiatry, physiotherapy and other medical or health services ",86,Human health activities,
sec-cre-2,Social care,sec-cre,,Includes residential and non-residential social care. Excludes healthcare.,"87, 88",Residential care activities; social work activities without accommodation,
sec-pro,Professional services,sec,,,,,
sec-pro-1,Lawyers ,sec-pro,Legal services,,691,692,Legal activities
sec-pro-2,Accountants,sec-pro,Accounting,Includes tax services,692,693,"Accounting, bookkeeping and auditing activities; tax consultancy"
sec-pro-3,Other regulated professions,sec-pro,,,,,
