Code,Name,Topics
law-sec-fsv-2,Investment management and conduct law,"FCA/PRA authorisation for investment firms (MIFIDPRU prudential regime); SMCR (investment firm scope); Consumer Duty (PS22/9); Financial Ombudsman Service; UK PRIIPs / Consumer Composite Investments regime; SDR and investment labels (Sustainability Disclosure Requirements, PS23/16); Long-Term Asset Fund (LTAF); FCA conduct sourcebooks (COBS, CASS, SYSC for investment firms)"
law-sec-fsv-3,Insurance law,"Solvency UK, Lloyd's of London regulation, Employer's liability compulsory insurance"
law-sec-fsv-4,Operational and digital resilience law,FCA/PRA operational resilience rules (PS6/21 and PS7/21); Important business services and impact tolerances; Critical Third Parties regime (FSMA 2023 Part 5 and related rules); PRA outsourcing and third-party risk (SS2/21); FCA outsourcing guidance (FG16/5 and successor); Cloud and technology outsourcing; DORA equivalence and UK firms in scope of DORA via EU-authorised affiliates
law-sec-fsv-5,Financial market infrastructure law,UK EMIR (retained EU law as amended); UK CSDR; Bank of England CCP supervision (FSMA 2023 Part 6); Recognised Clearing Houses (RCHs) and Recognised Overseas Clearing Houses (ROCHs); Recognised Investment Exchanges (RIEs); UK settlement discipline regime; FMI Special Administration Regime
law-sec-fsv-6,Pensions and occupational savings law,"The Pensions Regulator (TPR) and supervisory regime; Pension Protection Fund (PPF) and levies; Pension Schemes Act 2021 (DB superfunds, collective DC, DB consolidation, climate risk reporting); Pensions Act 2008 (auto-enrolment and qualifying workplace pension schemes); Employer covenant assessments and integrated risk management; Liability management exercises (PIE, enhanced transfer values, GMP equalisation); SIPP regulation; Occupational and Personal Pension Schemes disclosure regulations"
law-sec-res,Real estate sector law,
law-sec-res-1,Commercial real estate law,"Rent review, Lease renewal (LTA 1954), Dilapidations, Service charge disputes"
law-sec-res-2,Residential real estate law,"Leasehold and commonhold, Assured and assured shorthold tenancies, Renters' Rights Act, Landlord licensing, Leasehold reform, Right to buy, Shared ownership, HMO licensing"
law-sec-res-3,Rural real estate law,"Agricultural Tenancies Act 1995, Agricultural Holdings Act 1986, Crofting, Sporting rights, Public rights of way, Commons and village greens"
law-sec-pub,Public sector and NGO law,
law-sec-pub-1,Foreign affairs law,
law-sec-pub-2,Defence law,
law-sec-pub-3,Public order and safety law,"Civil Contingencies Act, TPIMs, Security Industry Authority (SIA), Martyn's Law"
law-sec-pub-4,Social security law,"Universal Credit, Housing benefit, Child benefit, Carer's allowance, Welfare conditionality"
law-sec-pub-5,Migration law,"Points-based immigration system, EU Settlement Scheme (EUSS), Right to work checks, Sponsor licence"
law-sec-pub-6,General government law,"Crown liability, Public sector equality duty, Parliamentary and Local Government Ombudsman"
law-sec-pub-7,Charitable and not for profit law,"Charity Commission, CIO (Charitable Incorporated Organisation), Gift Aid, CIC (Community Interest Company), Charity mergers"
law-sec-pub-8,International organisation law,
law-sec-edu,Education law,
law-sec-edu-1,Education law,"Academies and free schools, Ofsted inspection, SEND (Children and Families Act 2014), OfS (Office for Students)"
law-sec-hsc,Care law,
law-sec-hsc-1,Healthcare law,"CQC, NHS law, MHRA, NHS contracting and commissioning"
law-sec-hsc-2,Social care law,"CQC registration, DoLS (deprivation of liberty safeguards), EHCPs, Direct payments (Care Act 2014)"
law-sec-pro,Professional services law,
law-sec-pro-1,Legal services law,"Legal Services Act 2007, SRA, BSB, ABS (alternative business structures), Legal Ombudsman, Reserved legal activities"
law-sec-pro-2,Accounting / audit services law,"FRC, ARGA, Companies Act Part 42, Recognised Supervisory Bodies (ICAEW, ICAS)"
law-sec-pro-3,Other regulated professions law,"ARB (architects), RICS (surveyors), Engineering Council, IFoA (actuaries), RTPI (planners)"
