Code,Name,Topics
law-sec-fsv-2,Investment management and conduct law,"MiFID II / MiFIR (2014/65 and 600/2014); AIFMD / AIFMD II (Directive 2024/927); UCITS Directive (2009/65); ELTIF Regulation (2023/606); PRIIPs Regulation (1286/2014); SFDR (Sustainable Finance Disclosure Regulation, 2019/2088); PEPP Regulation (2019/1238, pan-European personal pension product); ESMA conduct and suitability guidelines"
law-sec-fsv-3,Insurance law,"Solvency II, IDD (Insurance Distribution Directive)"
law-sec-fsv-4,Operational and digital resilience law,"DORA (Digital Operational Resilience Act, Regulation 2022/2554, applicable January 2025); RTS/ITS under DORA (including Commission Delegated Regulation 2024/1772 on incident classification); Oversight framework for critical ICT third-party providers (CTPPs); TIBER-EU framework for threat-led penetration testing; EBA/ESMA/EIOPA joint guidelines on ICT and security risk management (EBA/GL/2019/04); EBA cloud outsourcing guidelines (EBA/GL/2019/02)"
law-sec-fsv-5,Financial market infrastructure law,"EMIR (648/2012) and EMIR Refit (2019/834); EMIR 3.0 (2024/2987); CSDR (909/2014) and CSDR Refit; Central clearing mandate and clearing thresholds; CCP Recovery and Resolution Regulation (2021/23); ESMA CCP supervision under EMIR 2.2; Trade repository reporting and data quality; SFTR (Securities Financing Transactions Regulation, 2015/2365)"
law-sec-fsv-6,Pensions and occupational savings law,IORP II Directive (2016/2341) and national implementing measures; EIOPA stress testing of institutions for occupational retirement provision; Cross-border IORP requirements and host state regulation; PEPP Regulation (2019/1238) — pan-European personal pension product; ESG integration in pension fund investment (IORP II Articles 19 and 28); Solvency II interface for pension buy-out and longevity risk transfer
law-sec-res,Real estate sector law,
law-sec-res-1,Commercial real estate law,
law-sec-res-2,Residential real estate law,
law-sec-res-3,Rural real estate law,
law-sec-pub,Public sector and NGO law,
law-sec-pub-1,Foreign affairs law,
law-sec-pub-2,Defence law,
law-sec-pub-3,Public order and safety law,
law-sec-pub-4,Social security law,"Social security coordination (Regulation 883/2004), Posted workers social security"
law-sec-pub-5,Migration law,"EU freedom of movement, EU Blue Card Directive, Schengen rules, CEAS (Common European Asylum System)"
law-sec-pub-6,General government law,"EU public procurement directives, Access to documents (Regulation 1049/2001)"
law-sec-pub-7,Charitable and not for profit law,
law-sec-pub-8,International organisation law,
law-sec-edu,Education law,
law-sec-edu-1,Education law,"Bologna Process, Erasmus+"
law-sec-hsc,Care law,
law-sec-hsc-1,Healthcare law,"Medical Device Regulation (MDR), Clinical Trials Regulation, EMA (European Medicines Agency)"
law-sec-hsc-2,Social care law,
law-sec-pro,Professional services law,
law-sec-pro-1,Legal services law,"Lawyers Services Directive (77/249), Lawyer Establishment Directive (98/5)"
law-sec-pro-2,Accounting / audit services law,"EU Statutory Audit Directive, EU Audit Regulation (537/2014), CEAOB"
law-sec-pro-3,Other regulated professions law,Professional Qualifications Directive (2005/36)
