Code,Name,Parent,Definition,Notes,Synonyms,Examples,NACE section / division,NACE name
lse-ins-2.1,Computer games,lse-ins-2,,"Separated out from other software (lse-inf-1) and content (lse-inf-2) given its economic significance, and specialisation in it by some lawyers. Excludes gambling games (lse-icr-5)",Video games,,58.21,Publishing of video games
lse-ins-2.2,"Films, TV and video",lse-ins-2,,"Any form of recorded or broadcast moving images, excluding in relation to sports",,,59.1 ex sports,"Motion picture, video and television programme activities"
lse-ins-2.3,Music and audio,lse-ins-2,,"Any form of recorded or broadcast sound without images, excluding in relation to sports",,,59.2 ex sports,Sound recording and music publishing activities
lse-ins-2.4,Arts and culture,lse-ins-2,,"Other art and cultural activities not otherwise covered. Includes painting, sculpture, live music, theatre, opera, ballet, museums and digital versions of these.",,,"90, 91","Arts creation and performing arts activities; libraries, archives, museums and other cultural activities"
nsf-ins-3,Telecoms,lse-ins,,"Includes wired and mobile services, whether terrestrial or satellite. Also includes telecom services reselling.",,,61,Telecommunications
lse-ins-4,Sports,lse-ins,,"Includes operating sports and fitness facilities, clubs and events. A departure from NACE is that this noslegal definition includes broadcasts or recordings relating to sports",,,93.1,Sports activities
lse-ins-5,Gambling,lse-ins,,"Includes casinos, betting shops, online games and other forms of gambling or betting.",,,92,Gambling and betting
lse-fsv,Financial services,lse,,Only selected elements are broken down in this core sectoral taxonomy. Further breakdowns are contained in XP1.,,,L,Financial and Insurance Activities
lse-fsv-1,Insurance,lse-fsv,,"All types of insurance, including related activities such as insurance broking and loss adjustment",,,"65.1, 65.2, 66.2","Insurance, reinsurance and related activities, excluding compulsory social security"
lse-fsv-2,Pension funds,lse-fsv,,Pension funds and their management,,,65.3,Pension funding
lse-fsv-3,Investment funds,lse-fsv,,"Funds and their management, other than pension funds",,,64.3 and 66.3,"Activities of trusts, funds and similar financial entities"
lse-fsv-4,Banking,lse-fsv,,"Includes deposit-taking and credit-granting, including by people and organisations which are not strictly banks.",,,"64.19, 64.9","Other monetary intermediation; Other financial service activities, except insurance and pension funding"
lse-fsv-5,Financial markets,lse-fsv,,"Includes capital markets, commodity markets, money markets, foreign exchange markets and derivatives markets",,,Parts of 66,Activities auxiliary to financial services and insurance activities
lse-fsv-6,Private wealth,lse-fsv,,"Includes private trusts, family offices, private banking and investment advice to individuals",,,Parts of 66,Activities auxiliary to financial services and insurance activities
lse-rst,Real estate,lse,,"Includes buying and leasing real estate, but not (1) accommodation services - lse-afs or (2) construction - lse-csn",,,M,Real Estate Activities
lse-rst-1,Commercial property,lse-rst,,"Industrial, commercial, retail and other non-residential buildings and sites, including sites used for mining, drilling or other extractive purposes.",,,Parts of 68,
lse-rst-2,Residential property,lse-rst,,Includes investing and business operation of residential property as well as individuals buying and leasing property for their own occupation,,,Parts of 69,
lse-rst-3,Rural land,lse-rst,,"Real estate valued primarily for its agricultural, forestry, recreational or environmental characteristics rather than for buildings or extractive uses.",,,Parts of 70,
lse-edu,Education,lse,,,,,P,Education
lse-cre,Care,lse,,,,,Q,Human Health and Social Work Activities
lse-cre-1,Healthcare,lse-cre,,"Includes doctors, hospital, nursing, psychiatry, physiotherapy and other medical or health services ",,,86,Human health activities
lse-cre-2,Social care,lse-cre,,Includes residential and non-residential social care. Excludes healthcare.,,,"87, 88",Residential care activities; social work activities without accommodation
lse-ser,Other services,lse,,"Professional, business and other services not classified elsewhere",,,"N, O, T","Professional, Scientific and Technical activities; Administrative and Support Service Activities; Other Service Activities"
