Code,Name,Parent,Definition,Notes,Synonyms,Examples
lw-tra-2,Changing,lw-tra,"Amending or modifying an existing legal status (e.g. citizenship, parent-child) or organisation, legal entity or non-contractual legal relationship.",,,"Adoption (of a child), amalgamation, amending constitutional documents, corporate and group reorganisations, mergers, demergers, changes to share capital, changing name, change of status, hive-down agreements, immigration, novation, Part VII transfer (UK), re-domiciliation, re-registration, scheme of arrangement, share unification, spin-out, spin-off, transfer of undertaking, obtaining a visa or work permit, takeovers"
lw-tra-3,Transferring,lw-tra,"Transferring property (e.g. selling or gifting something) and interests in property (e.g. transferring a lease). Property for this purpose may include both capital assets and stock / consumables. It also may include land, buildings, goods, companies, intellectual property, debts and any other type of property.",,,"Buying, selling, acquisition, disposal, gift, inter vivos transfer, conveyancing, auctions, sale of goods, sale of land
"
lw-tra-4,Financing,lw-tra,"Obtaining, providing or restructuring commercial finance, whether equity or debt.","This includes both standalone financing arrangements and the financing of other transactions (or, indeed, litigation). It also includes work on security interests.",,"Loans, mortgages, grant applications, equity capital markets, debt capital markets, MTN programmes, loan notes, intra-group bonds and financing, convertible bonds, custody agreements, debentures, depositary agreements, fee letters, asset finance, project finance, non-bank lending, securitisation and structured products, credit agreements, guarantees and credit support, trade finance, intercreditor agreements, derivatives, refinancing, remortgaging, SPACs, direct listings"
lw-tra-5,Dissolving and administering,lw-tra,"Dissolving or administering an organisation or a deceased or insolvent estate, or a non-contractual relationship (e.g. a marriage or co-habitation, or trust or foundation). Also includes managing the affairs of a child or of an adult unable or unwilling to manage their own affairs.",,,"Administration (of an estate or organisation), alimony, bankruptcy, bequest, Chapter 7 (US), Chapter 11 (US), conservatorships, donatio mortis causae, divorce, probate, executorship, executry, legacy, maintenance, Official Receiver, insolvency, liquidation, provisional liquidation, separation, statutory demand, succession, trustee in bankruptcy, winding up"
lw-ope,Operating,lw,Helping people to address legal issues in any way that does not fall within Resolving or Transacting.,"This includes advice which does not specifically relate to Resolving or Transacting. It also includes the well-established area of knowledge management, and the kinds of 'business of usual' legal work familiar to in-house legal departments. But it also includes more strategic work to improve how legal work is handled - this has been a significant growth area in recent years and appears likely to continue to be so.",Operations,
lw-ope-1,Advising,lw-ope,Advice and assistance on legal issues which does not fall within a more specific category. ,Advice and assistance which relates to a more specific category should be classified there rather than here.,,
lw-ope-2,Managing knowledge,lw-ope,"Gathering knowledge about the law and how to apply it, and making this available to people who need it.",,,
lw-ope-3,Governance,lw-ope,"Addressing relationships, responsibilities and rights between an organisation's stakeholders and managers. ",,Corporate governance,
lw-ope-4,Complying and managing risk,lw-ope,"Helping a person or organisation to comply with legal or regulatory requirements, and with non-legal standards, and to manage risks of being accused, or found, not to have done so. ","This includes work to establish systems to help with compliance and risk management, as well as work to operate such systems. Risks for this purpose include reputational and business risks as well as legal ones. ","Risk management, Compliance",
lw-ope-5,Legal operations,lw-ope,"Establishing, improving and applying systems for doing legal work effectively or for delivering help with legal issues within a highly defined process","This includes determining, developing and applying software solutions to legal issues. This may include specialist legal software or software of wider relevance. It also encompasses data analysis.",,"Agile contracting, big data, BAU, business as usual, business improvement consultancy, continuous improvement, document review, ebilling, e-signature, innovation, law tech, legal project management, LPM, legal process outsourcing, LPI, pricing of legal services"
